Journal Name,AboutPage
Angelaki: journal of the theoretical humanities,https://www.tandfonline.com/journals/cang20/about-this-journal
Asian Philosophy,https://www.tandfonline.com/journals/casp20/about-this-journal
Australasian Journal of Philosophy,https://www.tandfonline.com/journals/rajp20/about-this-journal
Australasian Philosophical Review,https://www.tandfonline.com/journals/rapr20/about-this-journal
British Journal for the History of Philosophy,https://www.tandfonline.com/journals/rbjh20/about-this-journal
Comparative and Continental Philosophy,https://www.tandfonline.com/journals/yccp20/about-this-journal
Critical Horizons,https://www.tandfonline.com/journals/ycrh20/about-this-journal
History of European Ideas,https://www.tandfonline.com/journals/rhei20/about-this-journal
Inquiry,https://www.tandfonline.com/journals/sinq20/about-this-journal
International Journal of Philosophical Studies,https://www.tandfonline.com/journals/riph20/about-this-journal
International Journal of Philosophy and Theology,https://www.tandfonline.com/journals/rjpt20/about-this-journal
International Studies in the Philosophy of Science,https://www.tandfonline.com/journals/cisp20/about-this-journal
Journal of Applied Non-Classical Logics,https://www.tandfonline.com/loi/tncl20/about-this-journal
Journal of Global Ethics,https://www.tandfonline.com/journals/rjge20/about-this-journal
Journal of the British Society for Phenomenology,https://www.tandfonline.com/journals/rbsp20/about-this-journal
Philosophical Exchange,https://www.tandfonline.com/journals/rapx20/about-this-journal
Philosophical Explorations,https://www.tandfonline.com/journals/rpex20/about-this-journal
Philosophical Papers,https://www.tandfonline.com/journals/rppa20/about-this-journal
Philosophical Psychology,https://www.tandfonline.com/journals/cphp20/about-this-journal
Social Epistemology,https://www.tandfonline.com/journals/tsep20/about-this-journal
South African Journal of Philosophy,https://www.tandfonline.com/journals/rsph20/about-this-journal
The Historian,https://www.tandfonline.com/journals/rhis20/about-this-journal
Historical Methods,https://www.tandfonline.com/journals/vhim20//about-this-journal
African Historical Review,https://www.tandfonline.com/journals/rahh20//about-this-journal
South African Historical Journal,https://www.tandfonline.com/journals/rshj20/about-this-journal
Chinese Historical Review,https://www.tandfonline.com/journals/ychr20/about-this-journal
Early Medieval China,https://www.tandfonline.com/journals/yemc20/about-this-journal
Australian Historical Studies,https://www.tandfonline.com/journals/rahs20/about-this-journal
Journal of Baltic Studies,https://www.tandfonline.com/journals/rbal20//about-this-journal
Journal of Slavic Military Studies,https://www.tandfonline.com/journals/fsla20//about-this-journal
Slavonic and East European Review,https://www.mhra.org.uk/journals/SEER/about-this-journal
"Politics, Religion & Ideology",https://www.tandfonline.com/journals/ftmp20//about-this-journal
Scandinavian Journal of History,https://www.tandfonline.com/journals/shis20//about-this-journal
Dutch Crossing: Journal of Low Countries Studies,https://www.tandfonline.com/journals/ydtc20/about-this-journal
Palestine Exploration Quarterly,https://www.tandfonline.com/journals/ypeq20//about-this-journal
American Communist History,https://www.tandfonline.com/journals/rach20/about-this-journal
Business History,https://www.tandfonline.com/journals/fbsh20/about-this-journal
Reformation,https://www.tandfonline.com/journals/yref20/about-this-journal
Ambix,https://www.tandfonline.com/journals/yamb20/about-this-journal
Annals of Science,https://www.tandfonline.com/journals/tasc20/about-this-journal
AKCE International Journal of Graphs and Combinatorics,https://www.tandfonline.com/journals/uakc20/about-this-journal
Communications in Algebra,https://www.tandfonline.com/loi/lagb20/about-this-journal
Communications in Partial Differential Equations,https://www.tandfonline.com/loi/lpde20/about-this-journal
Communications in Statistics - Theory and Methods,https://www.tandfonline.com/journals/lsta20/about-this-journal
Communications in Statistics Part B: Simulation and Computation,https://www.tandfonline.com/journals/lssp20/about-this-journal
Experimental Mathematics,https://www.tandfonline.com/journals/uexm20/about-this-journal
International Journal of Computer Mathematics,https://www.tandfonline.com/journals/gcom20/about-this-journal
International Journal of Computer Mathematics: Computer Systems Theory,https://www.tandfonline.com/journals/tcom20/about-this-journal
"Aging, Neuropsychology, and Cognition",https://www.tandfonline.com/journals/nanc20/about-this-journal
Applied neuropsychology. Adult,https://www.tandfonline.com/journals/hapn21/about-this-journal
Applied Neuropsychology: Child,https://www.tandfonline.com/journals/hapc20/about-this-journal
Child Neuropsychology,https://www.tandfonline.com/loi/ncny20/about-this-journal
Clinical Neuropsychologist,https://www.tandfonline.com/journals/ntcn20/about-this-journal
Cognitive Neuropsychology,https://www.tandfonline.com/journals/pcgn20/about-this-journal
Comprehensive Results in Social Psychology,https://www.tandfonline.com/loi/rrsp20/about-this-journal
